recipe_id,carrier,result_id,result_count,ingredients,unlock,jei_visible,notes
generated_blank_manuscript,bench,lord_of_mysteries:blank_manuscript,2,minecraft:paper*3;minecraft:string*1,free,true,M2 knowledge economy base
generated_mystic_ink,bench,lord_of_mysteries:mystic_ink,2,minecraft:ink_sac*1;minecraft:glow_ink_sac*1;minecraft:amethyst_shard*1,free,true,M2 manuscript reagent
generated_newspaper,bench,lord_of_mysteries:newspaper,1,minecraft:paper*3;lord_of_mysteries:mystic_ink*1,free,true,M2 Mist City livelihood prop
generated_shadow_marten_claw,bench,lord_of_mysteries:shadow_marten_claw,1,minecraft:rabbit_foot*1;minecraft:black_dye*1;lord_of_mysteries:spirit_salt*1,knowledge,true,M2 thief sequence 9 fallback material
generated_starlight_moss,bench,lord_of_mysteries:starlight_moss,2,minecraft:glow_lichen*2;minecraft:amethyst_shard*1;lord_of_mysteries:moonwater*1,knowledge,true,M2 apprentice sequence 9 fallback material
generated_dream_scale_fragment,bench,lord_of_mysteries:dream_scale_fragment,1,minecraft:phantom_membrane*1;minecraft:amethyst_shard*1;lord_of_mysteries:mystic_ink*1,knowledge,true,M2 psychiatrist sequence 7 fallback material
generated_ember_salamander_gland,bench,lord_of_mysteries:ember_salamander_gland,1,minecraft:magma_cream*1;minecraft:blaze_powder*1;lord_of_mysteries:spirit_salt*1,knowledge,true,M2 pyromaniac sequence 7 fallback material
generated_mirror_crab_shell,bench,lord_of_mysteries:mirror_crab_shell,1,minecraft:nautilus_shell*1;minecraft:prismarine_crystals*2;lord_of_mysteries:mystic_ink*1,knowledge,true,M2 swindler sequence 8 fallback material
generated_ancient_tablet_spore_sac,bench,lord_of_mysteries:ancient_tablet_spore_sac,1,minecraft:moss_block*1;minecraft:glow_lichen*2;minecraft:amethyst_shard*1,knowledge,true,M2 cryptologist sequence 7 fallback material
generated_iridescent_trickbird_feather,bench,lord_of_mysteries:iridescent_trickbird_feather,1,minecraft:feather*1;minecraft:glow_ink_sac*1;minecraft:ender_pearl*1,knowledge,true,M2 trickmaster sequence 8 fallback material
generated_meteor_dust,bench,lord_of_mysteries:meteor_dust,2,minecraft:glowstone_dust*2;minecraft:amethyst_shard*1;lord_of_mysteries:moonwater*1,knowledge,true,M2 astrologer sequence 7 fallback material
generated_acting_identity_card,bench,lord_of_mysteries:acting_identity_card,1,minecraft:paper*3;minecraft:ink_sac*1;minecraft:red_dye*1,knowledge,true,M1 private identity anchor replacement
generated_acting_reflection_journal,bench,lord_of_mysteries:acting_reflection_journal,1,minecraft:leather*1;minecraft:paper*6;lord_of_mysteries:acting_identity_card*1,knowledge,true,M1 acting reflection and humanity recovery
